Ime,Visina,Lokacija
Bivak na Rušju,1980,"46,41748°N 13,8199°"
Draški rob,1979,"46,3659°N 13,8971°"
Bogatin,1977,"46,28163°N 13,73508°"
Pri Banderi,1974,"46,35512°N 13,64484°"
Lipanski vrh,1974,"46,37901°N 13,92016°"
Vrh Planje,1971,"46,2663°N 13,7508°"
Monte Gosadon,1968,"46,47276°N 13,41588°"
Raskovec,1967,"46,22906°N 13,88543°"
Rodica,1966,"46,22774°N 13,86519°"
Vrh Ovčje planje,1965,"46,35453°N 13,64104°"
Okroglež,1965,"46,3861°N 13,93119°"
Bivak pod Kotovim sedlom,1965,"46,43066°N 13,6879°"
Mrežce,1965,"46,37759°N 13,91953°"
Plešivec,1962,"46,36113°N 13,51611°"
Debeli vrh nad Lipanco,1962,"46,37324°N 13,91123°"
Velika Montura,1958,"46,287°N 13,7116°"
Lopič / Monte Plauris,1958,"46,3592°N 13,1959°"
Vrh Leh,1958,"46,35786°N 13,64824°"
Veliki Selišnik,1952,"46,36606°N 13,90324°"
Bivak Gorizia,1950,"46,42571°N 13,51796°"
Mali Raskovec,1946,"46,23133°N 13,88013°"
Suha Rodica (Novi vrh),1944,"46,22596°N 13,87618°"
Veliki Šmohor,1944,"46,27427°N 13,68549°"
Prednje Robičje,1941,"46,44441°N 13,74514°"
Mali Šmohor,1939,"46,27923°N 13,68712°"
Matajurski vrh,1936,"46,22633°N 13,89726°"
Vrh Škrli,1926,"46,27426°N 13,74549°"
Macesnovec,1926,"46,40378°N 13,90672°"
Bela glava,1926,"46,31811°N 13,79378°"
Mala Ponca,1925,"46,46818°N 13,6932°"
Vogel,1922,"46,23829°N 13,8125°"
Rušnati vrh,1915,"46,24681°N 13,7957°"
Rdeči rob,1913,"46,25016°N 13,69624°"
Kraljevska špica/Monte Re,1912,"46,45596°N 13,55719°"
Slemenova špica,1911,"46,44584°N 13,7266°"
Speleološki bivak Modonutti - Savoia,1908,"46,3845°N 13,5155°"
Bivak Bernardinis,1907,"46,47641°N 13,42407°"
Mangartska koča na Mangartskem sedlu,1906,"46,43932°N 13,64065°"
Mala Rodica,1901,"46,23085°N 13,86239°"
Kser,1900,"46,27221°N 13,74742°"
Rušnata glava,1899,"46,31315°N 13,78467°"
Vrtaški vrh,1898,"46,45531°N 13,88788°"
Poljanski vrh,1897,"46,23023°N 13,90303°"
Vrh Krnic,1896,"46,23958°N 13,80994°"
Vrh Razora,1893,"46,37598°N 13,91362°"
Studorski preval,1892,"46,35436°N 13,88201°"
Srednji Selišnik,1890,"46,36393°N 13,90285°"
Krniška glavica / Jof di Sompdogna,1889,"46,45313°N 13,43918°"
Klečica,1889,"46,3973°N 13,9413°"
Velika Glava,1883,"46,36286°N 13,77096°"
Šija,1880,"46,23863°N 13,83413°"
Spodnje Kriško jezero,1880,"46,39903°N 13,80185°"
Krsteniški Stog,1879,"46,33102°N 13,84955°"
Konjski vrh,1879,"46,2302°N 13,90863°"
Čisti vrh,1875,"46,3556°N 13,7523°"
Rifugio Corsi,1874,"46,42212°N 13,50003°"
Tolminski Migovec,1868,"46,24629°N 13,76239°"
Požgana Mlinarica,1868,"46,4079°N 13,8794°"
Vrh Planje (nad Globokim),1863,"46,24408°N 13,80321°"
Skutnik/Torre Guarda,1860,"46,43403°N 13,59007°"
Vrh Dlani,1852,"46,239°N 13,8298°"
Bivak Nogara,1850,"46,44718°N 13,65418°"
Rifugio Gilberti,1850,"46,37194°N 13,46127°"
Šober / Monte Sciober Grande,1845,"46,45037°N 13,59921°"
Žabiški Kuk,1844,"46,23032°N 13,80484°"
Črna prst,1844,"46,23062°N 13,93184°"
Četrt,1832,"46,23067°N 13,91666°"
Jezero v Ledvicah,1831,"46,3402°N 13,78252°"
Kovačičeva glava,1827,"46,31981°N 13,8023°"
Visoka glava,1822,"46,3152°N 13,8012°"
Vodnikov dom na Velem polju,1817,"46,35588°N 13,86133°"
Stara koča na Kaninu,1814,"46,3436°N 13,47597°"
Pri treh macesnih,1810,"46,44696°N 13,83911°"
Vrtec,1809,"46,30517°N 13,8063°"
Jezero v Lužnici,1801,"46,25519°N 13,68558°"
Visoki Orlov rob,1800,"46,2415°N 13,8365°"
Škraplja,1794,"46,3853°N 13,5335°"
Plesišče,1790,"46,353°N 13,905°"
Kumlehova glava,1788,"46,45375°N 13,75866°"
Rušni vrh,1786,"46,2326°N 13,9373°"
Stadorski Orliči,1782,"46,30215°N 13,80323°"
Rušnata Mlinarica,1777,"46,41265°N 13,87945°"
Krasji vrh,1773,"46,2892°N 13,59277°"
Rigeljc,1768,"46,30152°N 13,79966°"
Veliki vrh (Polovnik),1768,"46,29498°N 13,57129°"
Čukla,1767,"46,35878°N 13,54751°"
Svete Višarje / Monte Lussari,1766,"46,47998°N 13,523°"
Kurji vrh,1762,"46,46596°N 13,80579°"
Pršivec,1761,"46,2973°N 13,82122°"
Glave,1760,"46,46647°N 13,70185°"
Luknja,1758,"46,38798°N 13,81486°"
Sovna glava,1750,"46,42703°N 13,75107°"
Zavitar,1750,"46,24881°N 13,84507°"
Visoka peč,1749,"46,4668°N 13,7353°"
Ciprnik,1745,"46,46923°N 13,74031°"
Vršič vrh,1737,"46,4341°N 13,74667°"
Skutnik /Monte Guarda,1721,"46,32246°N 13,43927°"
Planina Jezerce,1720,"46,33733°N 13,83825°"
Planina Zgornja Krma,1720,"46,3682°N 13,86771°"
Veliki Karman / Monte Chiampon,1713,"46,2946°N 13,1815°"
Rutarski Vršič,1699,"46,4648°N 13,84688°"
Gradovec,1692,"46,2396°N 13,8857°"
Poštarski dom na Vršiču,1688,"46,43244°N 13,74758°"
Koča pri Triglavskih jezerih,1685,"46,3186°N 13,77898°"
Orlove glave,1682,"46,2494°N 13,8372°"
Velo polje,1680,"46,35695°N 13,85513°"
Stol (Julijske Alpe),1673,"46,27827°N 13,45413°"
Planina Krstenica,1670,"46,32596°N 13,85037°"
Na Glavi,1666,"46,38446°N 13,72422°"
Jehlc (Špičasta kupa),1662,"46,22019°N 13,86219°"
Rifugio di Brazza,1660,"46,41422°N 13,44656°"
Planina Ovčarija,1660,"46,30959°N 13,79581°"
Zavetišče pod Ponco,1657,"46,46638°N 13,6855°"
Lisc (Lisec),1653,"46,24028°N 13,92782°"
Florjanka / Monte Florianca,1653,"46,4853°N 13,5471°"
Svinjak,1653,"46,35041°N 13,61174°"
Planina pod Mišelj vrhom,1645,"46,34973°N 13,84596°"
Matajur,1642,"46,21211°N 13,52945°"
Gabrovec (Veliki Muzec),1630,"46,28907°N 13,41061°"
Blejska koča na Lipanci,1630,"46,3753°N 13,92753°"
Planina Viševnik,1625,"46,30592°N 13,81746°"
Vošni vrh,1621,"46,4128°N 13,9439°"
Tičarjev dom na Vršiču,1618,"46,43278°N 13,74439°"
Breški Jalovec / Punta di Montemaggiore,1613,"46,28461°N 13,36944°"
Muzec - Musc (Mali Muzec),1612,"46,28734°N 13,41855°"
Slatnik (severozahodni vrh),1609,"46,23708°N 13,99341°"
Možic,1602,"46,24182°N 13,99482°"
Planina za Migovcem,1600,"46,2615°N 13,787°"
Slatnik (jugovzhodni vrh),1597,"46,23455°N 13,99907°"
Nemške glave,1597,"46,40844°N 13,57477°"
Jerebikovec,1593,"46,44318°N 13,95553°"
Lovska koča Berebica,1590,"46,38603°N 13,72203°"
Bivak Stuparich,1587,"46,44486°N 13,44788°"
Brinova glava,1586,"46,42819°N 13,85417°"
Šavnik,1574,"46,24208°N 13,98469°"
Grušnica,1570,"46,2391°N 13,7504°"
Višarska planina / Malga di Lussari,1570,"46,47591°N 13,5335°"
Visoki Mavrinc,1562,"46,45009°N 13,76556°"
Planina v Lazu,1560,"46,32882°N 13,82552°"
Planina Dedno Polje,1560,"46,31511°N 13,81189°"
Planina Lopučnica,1558,"46,3158°N 13,76698°"
Javoršček,1557,"46,3141°N 13,5976°"
Planina Klek,1556,"46,39407°N 13,96161°"
Mojčin dom na Vitrancu,1555,"46,476°N 13,7598°"
Planja (nad Mangartsko planino),1553,"46,4263°N 13,6154°"
Bivak pod Muzcem,1550,"46,28743°N 13,41393°"
Lajnar,1549,"46,23017°N 14,00632°"
Planina v Plazeh,1548,"46,352°N 13,7317°"
Dravh,1547,"46,23268°N 14,0138°"
Dom na Matajure,1545,"46,20924°N 13,52503°"
Požar,1543,"46,42047°N 13,88618°"
Kravja Črna gora,1541,"46,2401°N 13,96039°"
Visoka glava (na Matajurju),1540,"46,218°N 13,5255°"
Mesnovec,1538,"46,3372°N 13,9446°"
Planinska koča Merjasec,1535,"46,26335°N 13,83977°"
Viška planina,1530,"46,41478°N 13,50194°"
Planina na Polju,1530,"46,2785°N 13,67646°"
Lovska koča na Glinu,1527,"46,2411°N 13,8684°"
Erjavčeva koča na Vršiču,1525,"46,43921°N 13,74934°"
Rifugio Cinque Punte,1520,"46,45894°N 13,59549°"
Dom na Komni,1520,"46,28446°N 13,77338°"
Planina Ravna,1515,"46,4851°N 13,467°"
Krevl,1515,"46,23596°N 13,96068°"
Koča pod Bogatinom,1513,"46,28775°N 13,76333°"
Planina Za skalo,1510,"46,31904°N 13,71744°"
Malga Granuda,1501,"46,48092°N 13,40444°"
Lovska koča Na Utrci,1500,"46,39604°N 13,79424°"
Rifugio Pellarini,1499,"46,44064°N 13,50833°"
Lengarjeva glava,1498,"46,42482°N 13,89332°"
Kobla,1498,"46,23387°N 13,96483°"
Planina na Kalu,1490,"46,2422°N 13,7558°"
Nizki vrh ,1488,"46,2916°N 13,3902°"
Črni vrh / Colrotondo,1486,"46,475°N 13,6534°"
Planina Vodični vrh,1486,"46,3015°N 13,8437°"
Javorov vrh (Pokljuka),1482,"46,32423°N 13,95066°"
Planina Govnjač,1480,"46,27634°N 13,76316°"
Bivak pod Luknjo,1480,"46,39127°N 13,82189°"
Kobilja glava,1475,"46,19015°N 13,79541°"
Planina Poljana,1466,"46,23684°N 13,89276°"
Vrtaška planina,1462,"46,45333°N 13,9042°"
Koča na Planini pri Jezeru,1453,"46,30968°N 13,82758°"
Jalovnik,1452,"46,18723°N 13,80083°"
Planina Sleme,1448,"46,2429°N 13,6918°"
Laghetto di Somdogna,1447,"46,45933°N 13,44731°"
Risnati rob (Polevec),1438,"46,44325°N 13,94608°"
Planina Konjščica,1438,"46,3488°N 13,89645°"
Rifugio Brunner,1432,"46,42357°N 13,53081°"
Bivak pod Špikom,1424,"46,45705°N 13,81836°"
Planina Zadnji Vogel,1413,"46,2502°N 13,8277°"
Planina Gorjuda,1404,"46,38629°N 13,43932°"
Planina nad Sočo,1400,"46,3522°N 13,6587°"
Planina Osredki,1400,"46,2379°N 13,92248°"
Krnsko jezero,1391,"46,2857°N 13,68434°"
Mali vrh (na Mežakli),1389,"46,4485°N 13,9511°"
Rifugio Grego,1389,"46,4575°N 13,4551°"
Planina Zapotok,1385,"46,38288°N 13,68511°"
Planina Suha,1385,"46,24169°N 13,85591°"
Dom pri Krnskih jezerih,1385,"46,28869°N 13,69618°"
Tonkina koča na Vršiču,1380,"46,4389°N 13,7538°"
Rifugio Zacchi,1380,"46,45921°N 13,6843°"
Planica pod Krnom,1376,"46,2485°N 13,64°"
Lipenšči hrib,1375,"46,354°N 13,9572°"
Mali Karman / Monte Cuarnan,1372,"46,2787°N 13,1866°"
Javor (nad Tolminskimi Ravnami),1363,"46,234°N 13,7592°"
Mrzli vrh nad planino Pretovč,1359,"46,2188°N 13,69596°"
Planina Strehica,1359,"46,4876°N 13,4552°"
Mrzli vrh (na Matajurju),1358,"46,20958°N 13,56234°"
Črna gora,1350,"46,43525°N 13,91178°"
Orožnova koča na planini za Liscem,1346,"46,24172°N 13,93748°"
Bivak Za Akom,1340,"46,45952°N 13,83833°"
Planina Za Črno goro,1340,"46,23846°N 13,95137°"
Planina Goričica,1336,"46,3532°N 13,54087°"
Frčkova planina,1335,"46,4231°N 13,9504°"
Srednji vrh (na Matajurju),1320,"46,2088°N 13,5655°"
Planina za Šavnikom,1320,"46,2461°N 13,9872°"
Koča na planini Razor,1315,"46,23562°N 13,79334°"
Kota 1313,1313,"46,36066°N 13,57516°"
Koča na Soriški planini,1306,"46,24°N 14,00737°"
Planina Dobrenjščica,1304,"46,2643°N 13,7384°"
Lovska koča Bala,1300,"46,3893°N 13,652°"
Mangartska planina,1295,"46,4296°N 13,6089°"
Črno jezero,1294,"46,29834°N 13,79533°"
Planina Zajavornik,1292,"46,36027°N 13,9489°"
Planina Zajamniki,1280,"46,3127°N 13,9344°"
Vrh Bače,1273,"46,2367°N 13,9808°"
Rečiška planina,1265,"46,3498°N 14,0106°"
Galetovec,1265,"46,33145°N 14,03875°"
Berjanca,1264,"46,3546°N 14,0203°"
Zgornji Goreljek (Pokljuka),1260,"46,3358°N 13,9632°"
Planina Krnica,1252,"46,35243°N 13,5087°"
Idrska planina,1250,"46,21225°N 13,56509°"
Planina Zgornja Grintovica,1250,"46,32841°N 13,86507°"
Turn (nad Bohinjsko Belo),1249,"46,3392°N 14,0366°"
Planina Berebica,1248,"46,37589°N 13,71676°"
Planina Zagreben,1240,"46,29848°N 13,65017°"
Belska planina,1237,"46,3367°N 14,0224°"
Izvir Nadiže,1232,"46,4484°N 13,707°"
Planina Zgornji Kozjek,1230,"46,4296°N 14,0017°"
Planina Leskovca,1230,"46,24888°N 13,67888°"
Koča na Gozdu,1226,"46,43964°N 13,76252°"
Bivak Hlek,1225,"46,26671°N 13,51519°"
Spodnji Goreljek (Pokljuka),1222,"46,3304°N 13,9821°"
Italijanska vojaška kapela na Planici,1220,"46,2427°N 13,6428°"
Svinska planina,1214,"46,21896°N 13,55144°"
Grajska planina (Ribšca),1210,"46,3428°N 13,9984°"
Škrbina (Mežakla),1210,"46,42439°N 14,04422°"
Planina Zaprikraj,1208,"46,28773°N 13,62328°"
Lovska koča Mali Vokel,1193,"46,353°N 14,0259°"
Lovčev bivak Pri Koucah,1192,"46,2306°N 13,9959°"
Police,1184,"46,4016°N 14,0128°"
Planina Bala,1181,"46,3802°N 13,6375°"
Planina Spodnja Grintovica,1175,"46,33191°N 13,86584°"
Planina Ilovec,1170,"46,3295°N 14,0333°"
Planina Pretovč,1160,"46,22563°N 13,6942°"
Bivak na Črniku,1160,"46,26463°N 13,64347°"
Koča na Uskovnici,1154,"46,32053°N 13,90957°"
Zgornji Martuljkov slap,1150,"46,46112°N 13,83886°"
Planina Blato,1147,"46,314°N 13,8491°"
Gozdarska koča Mali Vokel,1145,"46,3525°N 14,0287°"
Zapotoški slapovi,1140,"46,38651°N 13,6926°"
Planina Medrja,1133,"46,2329°N 13,7013°"
Snežna jama na Mežakli,1130,"46,4156°N 14,0566°"
Ruska kapelica,1130,"46,44288°N 13,7679°"
Bedančev dom,1116,"46,4836°N 13,7622°"
Koča v Krnici,1113,"46,43236°N 13,78762°"
Dom v Tamarju,1108,"46,44605°N 13,7134°"
Hotunjski vrh,1107,"46,3652°N 14,0407°"
Planina Lom,1090,"46,19957°N 13,78219°"
Mihov dom na Vršiču,1085,"46,44342°N 13,77177°"
Kobala,1080,"46,18139°N 13,77967°"
Malga Cuarnan,1070,"46,2842°N 13,1788°"
Planina v Prodih,1070,"46,2284°N 13,8315°"
Kosijev dom na Vogarju,1054,"46,29671°N 13,867°"
Slapovi v Kotu,1050,"46,40524°N 13,88722°"
Partizanska bolnišnica na Mežakli,1050,
Koča na planini Stador,1050,"46,19°N 13,78197°"
Kup,1046,"46,22006°N 13,99055°"
Planina Obranica,1035,"46,41199°N 14,06793°"
Planinsko zavetišče Slatna,1023,"46,48802°N 13,71391°"
Vodnikov razglednik,1017,"46,3023°N 13,977°"
Aljažev dom v Vratih,1015,"46,40904°N 13,84339°"
Jezerska planina / Alpe del Lago,1006,"46,4671°N 13,6614°"
Planina za Jamo,1005,"46,32256°N 14,03886°"
Studor,1002,"46,29553°N 13,90745°"
Koča na planini Kuhinja,1002,"46,24144°N 13,65986°"
Klatnica ,1000,"46,2794°N 13,417°"
Planina Laška seč,1000,"46,2353°N 13,7055°"
Izvir Soče,990,"46,41185°N 13,72405°"
Sveta Marjeta pod Stolom,973,"46,2732°N 13,4377°"
Ožarjeni kamen,960,"46,28955°N 13,83164°"
Planina Ravne,956,"46,4121°N 14,006°"
Slap Suha,950,"46,30581°N 13,85786°"
Rudnica,946,"46,28545°N 13,92079°"
Boršt,931,"46,4011°N 14,0829°"
Slap Zaročenca,930,
Ingotova koča na planini Jesenje,930,"46,4698°N 13,83131°"
Zgornje Mangartsko jezero,929,"46,47529°N 13,66811°"
Spodnje Mangartsko jezero,924,"46,4821°N 13,6733°"
Planina Rčitno,900,"46,3566°N 14,0404°"
Kres nad Kočno,890,"46,419°N 14,0789°"
Planina Blatce,888,"46,2974°N 13,8991°"
Kovinarska koča v Krmi,870,"46,4005°N 13,9235°"
Vrše,850,"46,4077°N 14,0882°"
Izvir Boke,850,"46,3221°N 13,4784°"
Slap Peričnik - zgornji slap,850,"46,43948°N 13,89354°"
Spodnji Martuljkov slap,850,"46,47233°N 13,82839°"
Zelenci,845,"46,49235°N 13,73771°"
Grančišče,844,"46,4589°N 13,9328°"
Logje,840,"46,37498°N 13,63454°"
Hom pri Bledu,834,"46,39476°N 14,0931°"
Jezero Jasna,830,"46,4748°N 13,7833°"
Pokljuška soteska (luknja),830,"46,3766°N 14,0326°"
Poljanska baba,830,"46,4176°N 14,0779°"
Brezje / Montemaggiore,819,"46,2681°N 13,37°"
Sv. Peter in Pavel (Perati),812,"46,2028°N 13,5942°"
Humčič,810,"46,3143°N 13,57605°"
Žerjavec (Kavče),805,"46,4159°N 14,0853°"
Koča na Petrovem Brdu,804,"46,2154°N 13,999°"
Planina Črča,800,"46,2359°N 13,7113°"
Slap Peričnik - spodnji slap,800,"46,43906°N 13,89364°"
Slap Savica,794,"46,29276°N 13,79741°"
